movie_title,film_director,industry,available_langs,run_time_min,imdb_user_rating,worldwide_release,platform_post_date,days_to_piracy,avg_views_per_download,avg_downloads_per_day,downloads,total_views
WWE Raw 2023-01-02,Not Assigned,Wrestling,English,100,5.8,2023-01-02,2023-01-03,1,2.7168112074716477,2998.0,2998,8145
The Last Manhunt,Christian Camargo,Hollywood / English,English,103,4.2,2022-11-18,2022-11-19,1,12.718864950078823,1903.0,1903,24204
Medieval,Petr Jákl,Hollywood / English,"English,Czech",126,5.9,2022-09-08,2022-09-15,7,10.450349225630125,470.42857142857144,3293,34413
Marlowe,Neil Jordan,Hollywood / English,English,110,6.1,2023-02-15,2023-02-15,0,10.784452296819788,283.0,283,3052
Carnifex,Sean Lahiff,Hollywood / English,English,93,4.7,2022-12-01,2023-02-16,77,8.002063273727648,18.883116883116884,1454,11635
Vaathi,Venky Atluri,Tollywood,Hindi,139,8.1,2023-02-17,2023-02-20,3,3.15153452685422,521.3333333333334,1564,4929
Shehzada,Rohit Dhawan,Bollywood / Indian,Hindi,142,9.0,2023-02-17,2023-02-18,1,2.7669213552519873,12957.0,12957,35851
The Girl Who Escaped: The Kara Robinson Story,Simone Stock,Hollywood / English,English,88,6.6,2023-02-11,2023-02-15,4,9.786842105263158,190.0,760,7438
Who Invited Charlie?,Xavier Manrique,Hollywood / English,English,101,8.8,2023-02-03,2023-02-13,10,22.44,7.5,75,1683
Your Place or Mine,Aline Brosh McKenna,Hollywood / English,"English,Hindi",109,5.7,2023-02-10,2023-02-13,3,5.400073746312684,904.0,2712,14645
Baby Ruby,Bess Wohl,Hollywood / English,English,93,5.0,2023-02-03,2023-02-10,7,14.638263665594856,88.85714285714286,622,9105
White Noise,Noah Baumbach,Hollywood / English,"English,Hindi",136,6.2,2022-12-30,2022-12-14,-16,6.242974640164496,182.375,2918,18217
Violent Night,Tommy Wirkola,Hollywood / English,"English,Hindi",112,6.8,2022-12-02,2022-12-06,4,5.007100591715976,1901.25,7605,38079
WWE Smackdown 2022-12-30,Not Assigned,Wrestling,English,100,5.8,2022-12-30,2022-12-31,1,2.819366301450992,3377.0,3377,9521
TNA.Impact 2022-12-29,Not Assigned,Wrestling,English,100,5.8,2022-12-29,2022-12-30,1,4.7491289198606275,287.0,287,1363
A Man Called Otto,Marc Forster,Hollywood / English,English,126,7.0,2023-01-04,2022-12-30,-5,10.546099290780141,112.8,564,5948
Rocket Gang,Bosco Martis,Bollywood / Indian,Hindi,121,6.3,2022-11-11,2022-12-30,49,5.184615384615385,172.44897959183675,8450,43810
Dsp,Ponram,Tollywood,Hindi,144,3.3,2022-12-02,2022-12-30,28,3.970276008492569,319.60714285714283,8949,35530
Drishyam 2,Abhishek Pathak,Bollywood / Indian,"Hindi,English",140,8.6,2022-11-18,2022-11-19,1,2.8807274277189743,98539.0,98539,283864
Mili,Mathukutty Xavier,Bollywood / Indian,Hindi,127,7.6,2022-11-04,2022-11-05,1,3.8509311390212213,23090.0,23090,88918
7 donne e un mistero (7 Women And A Murder),Alessandro Genovesi,Hollywood / English,"English,Hindi",82,5.4,2021-12-25,2022-12-29,369,5.845410628019324,5.048780487804878,1863,10890
Noc w przedszkolu (A Night At The Kindergarten),Rafal Skalski,Hollywood / English,"English,Hindi",96,5.9,2022-12-28,2022-12-29,1,7.14849044978435,1623.0,1623,11602
