movie_title,film_director,industry,available_langs,run_time_min,imdb_user_rating,worldwide_release,platform_post_date,days_to_piracy,avg_views_per_download,avg_downloads_per_day,downloads,total_views
Ann Rule's A Murder to Remember,Robin Givens,Hollywood / English,English,85,4.8,2020-08-02,2021-10-20,444,10.316939890710383,1.6486486486486487,732,7552
After We Fell,Castille Landon,Hollywood / English,English,98,4.7,2021-09-03,2021-09-03,0,4.4860503694767,13262.0,13262,59494
Marlowe,Neil Jordan,Hollywood / English,English,110,6.1,2023-02-15,2023-02-15,0,10.985865724381625,283.0,283,3109
Carnifex,Sean Lahiff,Hollywood / English,English,93,4.7,2022-12-01,2023-02-16,77,8.0446735395189,18.896103896103895,1455,11705
Vaathi,Venky Atluri,Tollywood,Hindi,139,8.1,2023-02-17,2023-02-20,3,3.1669626998223803,563.0,1689,5349
Shehzada,Rohit Dhawan,Bollywood / Indian,Hindi,142,9.0,2023-02-17,2023-02-18,1,2.7696969696969695,13035.0,13035,36103
The Girl Who Escaped: The Kara Robinson Story,Simone Stock,Hollywood / English,English,88,6.6,2023-02-11,2023-02-15,4,9.852825229960578,190.25,761,7498
Who Invited Charlie?,Xavier Manrique,Hollywood / English,English,101,8.8,2023-02-03,2023-02-13,10,23.2,7.5,75,1740
Your Place or Mine,Aline Brosh McKenna,Hollywood / English,"English,Hindi",109,5.7,2023-02-10,2023-02-13,3,5.419152854511971,905.0,2715,14713
Baby Ruby,Bess Wohl,Hollywood / English,English,93,5.0,2023-02-03,2023-02-10,7,14.729903536977492,88.85714285714286,622,9162
I onde dager (The Trip),Not Assigned,Hollywood / English,English,113,7.1,2021-10-15,2021-10-18,3,8.781101291638342,490.3333333333333,1471,12917
Du Sie Er & Wir (The Four of Us),Florian Gottschick,Hollywood / English,German,88,5.3,2021-10-15,2021-10-18,3,10.236394557823129,196.0,588,6019
De slag om de Schelde (The Forgotten Battle),Matthijs van Heijningen Jr.,Hollywood / English,"Dutch,German,English",124,7.1,2021-10-15,2021-10-18,3,7.288293897882939,535.3333333333334,1606,11705
Between Forever,Scooter Powell,Hollywood / English,English,83,6.5,2021-06-15,2021-10-18,125,10.880407124681934,3.144,393,4276
Breaking Them Up,Scott Dow,Hollywood / English,English,95,6.5,2020-10-01,2021-10-18,382,11.90950226244344,0.5785340314136126,221,2632
Halloween Kills,David Gordon Green,Hollywood / English,English,105,5.5,2021-10-15,2021-10-16,1,6.293808734107242,3618.0,3618,22771
Needle in a Timestack,John Ridley,Hollywood / English,"English,Portuguese",111,4.9,2021-10-15,2021-10-16,1,12.84894259818731,662.0,662,8506
Warning,Agata Alexander,Hollywood / English,English,86,4.7,2021-10-22,2021-10-16,-6,10.095454545454546,183.33333333333334,1100,11105
The Blazing World,Carlson Young,Hollywood / English,English,101,4.6,2021-01-31,2021-10-16,258,14.40085287846482,1.817829457364341,469,6754
Free Guy,Shawn Levy,Hollywood / English,"English,Japanese,German",115,7.1,2021-08-13,2021-08-13,0,3.48492631079853,50618.0,50618,176400
The Green Knight,David Lowery,Hollywood / English,"Latin,English",130,6.6,2021-07-30,2021-08-02,3,5.12194466827827,2482.0,7446,38138
Sardar Udham,Shoojit Sircar,Bollywood / Indian,"Hindi,English,Russian,Punjabi",164,8.4,2021-10-16,2021-10-16,0,4.297827077951679,13162.0,13162,56568
Rashmi Rocket,Akarsh Khurana,Bollywood / Indian,Hindi,129,7.5,2021-10-15,2021-10-15,0,4.110961018911617,15546.0,15546,63909
Sanak,Kanishk Varma,Bollywood / Indian,Hindi,116,6.7,2021-10-15,2021-10-15,0,2.824006232801777,60326.0,60326,170361
Fever Dream,Not Assigned,Hollywood / English,Spanish,93,5.1,2021-10-07,2021-10-15,8,11.959183673469388,91.875,735,8790
List of a Lifetime,Roxy Shih,Hollywood / English,English,87,7.2,2021-09-29,2021-10-15,16,17.504273504273506,14.625,234,4096
Amazon Queen,Marlin Darrah,Hollywood / English,"English,Portuguese",86,4.7,2021-09-16,2021-10-15,29,11.595679012345679,44.689655172413794,1296,15028
Black Water: Abyss,Andrew Traucki,Hollywood / English,English,98,4.6,2020-07-30,2020-08-08,9,4.462010487559969,1991.7777777777778,17926,79986
Friendzone,Charles Van Tieghem,Hollywood / English,"French,English",88,5.9,2021-09-29,2021-10-14,15,9.171220400728597,36.6,549,5035
Brain Freeze,Julien Knafo,Hollywood / English,French,91,4.6,2021-10-29,2021-10-14,-15,10.13103448275862,58.0,870,8814
Copshop,Joe Carnahan,Hollywood / English,English,107,6.2,2021-09-17,2021-09-20,3,8.033226837060703,521.6666666666666,1565,12572
Jinne Jamme Saare Nikamme,Kenny Chhabra,Punjabi,Punjabi,132,6.8,2021-10-14,2021-10-14,0,3.160201973835208,8714.0,8714,27538
The Cleaner,Not Assigned,Hollywood / English,English,93,5.3,2021-10-12,2021-10-13,1,13.457070707070708,396.0,396,5329
On the Fringe of Wild,Not Assigned,Hollywood / English,English,83,3.3,1970-01-01,2021-10-13,18913,14.831189710610932,0.03288743192513086,622,9225
They Who Surround Us,Troy Ruptash,Hollywood / English,English,88,6.6,2021-08-27,2021-10-13,47,16.363636363636363,3.0425531914893615,143,2340
Killing Eleanor,Rich Newey,Hollywood / English,English,106,7.1,2020-10-29,2021-10-13,349,16.079710144927535,0.3954154727793696,138,2219
Aloha Surf Hotel,Stefan C. Schaefer,Hollywood / English,English,94,5.8,2020-11-05,2021-10-13,342,19.392857142857142,0.5730994152046783,196,3801
Bright: Samurai Soul,Kyohei Ishiguro,Anime / Kids,"English,Japanese",80,5.5,2021-10-12,2021-10-13,1,10.837349397590362,664.0,664,7196
The Pharm,Ryan Altman,Hollywood / English,English,92,5.1,2021-10-05,2021-10-12,7,9.399768250289688,123.28571428571429,863,8112
Wanton Want,Joston Theney,Hollywood / English,"English,French",92,4.2,2021-09-28,2021-10-12,14,10.124600638977636,44.714285714285715,626,6338
Sunset on the River Styx,Aaron Pagniano,Hollywood / English,English,94,5.1,2020-03-07,2021-10-12,584,17.0,0.601027397260274,351,5967
"Events Transpiring Before, During, And After A High School Basketball Game",Ted Stenson,Hollywood / English,English,75,5.9,2020-09-24,2021-10-12,383,24.346153846153847,0.13577023498694518,52,1266
Under Wraps,Alex Zamm,Hollywood / English,English,91,4.8,2021-10-01,2021-10-12,11,11.828488372093023,62.54545454545455,688,8138
"My Brother, My Sister",Roberto Capucci,Hollywood / English,Italian,110,6.0,2021-10-08,2021-10-11,3,13.045454545454545,146.66666666666666,440,5740
Madres,Ryan Zaragoza,Hollywood / English,"English,Spanish",83,4.8,2021-10-08,2021-10-11,3,16.537735849056602,141.33333333333334,424,7012
Silent Hours,Mark Greenstreet,Hollywood / English,English,156,5.2,2021-09-01,2021-10-11,40,5.560404528965593,227.425,9097,50583
Marlowe,Neil Jordan,Hollywood / English,English,110,6.1,2023-02-15,2023-02-15,0,10.989399293286219,283.0,283,3110
Carnifex,Sean Lahiff,Hollywood / English,English,93,4.7,2022-12-01,2023-02-16,77,8.045360824742268,18.896103896103895,1455,11706
Vaathi,Venky Atluri,Tollywood,Hindi,139,8.1,2023-02-17,2023-02-20,3,3.1635182998819364,564.6666666666666,1694,5359
Shehzada,Rohit Dhawan,Bollywood / Indian,Hindi,142,9.0,2023-02-17,2023-02-18,1,2.769714636391531,13036.0,13036,36106
The Girl Who Escaped: The Kara Robinson Story,Simone Stock,Hollywood / English,English,88,6.6,2023-02-11,2023-02-15,4,9.854139290407359,190.25,761,7499
Who Invited Charlie?,Xavier Manrique,Hollywood / English,English,101,8.8,2023-02-03,2023-02-13,10,23.213333333333335,7.5,75,1741
Your Place or Mine,Aline Brosh McKenna,Hollywood / English,"English,Hindi",109,5.7,2023-02-10,2023-02-13,3,5.419521178637201,905.0,2715,14714
Baby Ruby,Bess Wohl,Hollywood / English,English,93,5.0,2023-02-03,2023-02-10,7,14.733118971061094,88.85714285714286,622,9164
Christmas Collision,Lana Read,Hollywood / English,English,95,5.8,2021-10-08,2021-10-11,3,13.507936507936508,63.0,189,2553
Witnesses,Mark Goodman,Hollywood / English,English,110,4.1,2021-06-04,2021-06-14,10,17.816326530612244,34.3,343,6111
Till Death,S.K. Dale,Hollywood / English,English,88,5.8,2021-07-02,2021-06-28,-4,4.445554202192448,3078.75,12315,54747
The Outpost,Rod Lurie,Hollywood / English,English,123,6.8,2020-07-03,2020-07-04,1,3.6744147526501765,18112.0,18112,66551
Ida Red,John Swab,Hollywood / English,English,111,5.5,2021-11-05,2021-10-09,-27,9.209523809523809,31.11111111111111,840,7736
South of Heaven,Aharon Keshales,Hollywood / English,"English,Spanish",120,5.7,2021-10-08,2021-10-09,1,12.658682634730539,334.0,334,4228
The Secret of Sinchanee,Steven Grayhm,Hollywood / English,English,115,5.5,2021-10-08,2021-10-09,1,12.332677165354331,1016.0,1016,12530
Vengeance Is Mine,Hadi Hajaig,Hollywood / English,English,79,5.5,2021-10-08,2021-10-09,1,11.553775743707094,437.0,437,5049
The Manor,Axelle Carolyn,Hollywood / English,English,81,5.3,2021-10-08,2021-10-09,1,15.809090909090909,330.0,330,5217
American Insurrection,William Sullivan,Hollywood / English,English,115,3.0,2021-10-08,2021-10-09,1,10.701652089407192,1029.0,1029,11012
Pokemon The Movie: Secrets Of The Jungle,Tetsuo Yajima,Anime / Kids,"Japanese,English,Hindi",99,6.4,2021-10-08,2021-10-09,1,5.4019226089072765,8218.0,8218,44393
Injustice,Matt Peters,Anime / Kids,English,78,6.4,2021-10-19,2021-10-09,-10,6.5582317937092665,352.9,3529,23144
dustbin,Not Assigned,Punjabi,Punjabi,100,5.8,2021-10-08,2021-10-09,1,6.845391476709613,2018.0,2018,13814
Blue Bayou,Justin Chon,Hollywood / English,English,117,7.1,2021-09-17,2021-10-08,21,12.382949932341,35.19047619047619,739,9151
The One You're With,Chad Werner,Hollywood / English,English,88,5.4,2021-09-28,2021-10-08,10,10.392857142857142,64.4,644,6693
Old Henry,Not Assigned,Hollywood / English,English,100,5.8,2021-10-01,2021-10-08,7,9.59,57.142857142857146,400,3836
There's Someone Inside Your House,Patrick Brice,Hollywood / English,English,96,4.8,2021-10-06,2021-10-07,1,4.43588667366212,4765.0,4765,21137
Survive the Game,James Cullen Bressack,Hollywood / English,English,97,3.3,2021-10-08,2021-10-07,-1,7.738784781374219,1761.0,1761,13628
V/H/S/94,"Simon Barrett, Steven Kostanski, Chloe Okuno",Hollywood / English,English,103,5.4,2021-10-06,2021-10-07,1,10.875,656.0,656,7134
Like Dogs,Randy Van Dyke,Hollywood / English,English,94,4.0,2021-10-01,2021-10-07,6,9.276611151339608,230.16666666666666,1381,12811
Our Father,Bradley Grant Smith,Hollywood / English,English,96,5.3,2021-03-17,2021-10-07,204,15.796875,0.9411764705882353,192,3033
A Bend in the River,Colin Broderick,Hollywood / English,English,85,6.0,2021-10-01,2021-10-07,6,17.5,19.333333333333332,116,2030
The Many Saints of Newark,Not Assigned,Hollywood / English,English,100,5.8,2021-10-01,2021-10-06,5,10.655105973025048,103.8,519,5530
Black as Night,Maritte Lee Go,Hollywood / English,English,87,4.4,2021-10-01,2021-10-06,5,13.387417218543046,120.8,604,8086
Stop and Go,Not Assigned,Hollywood / English,English,100,5.8,2021-10-01,2021-10-06,5,16.860262008733624,45.8,229,3861
While We Sleep,Andrzej Sekula,Hollywood / English,English,92,3.7,2021-10-01,2021-10-06,5,8.395450568678916,228.6,1143,9596
Implanted,Fabien Dufils,Hollywood / English,English,96,6.2,2021-10-01,2021-10-06,5,14.05774278215223,76.2,381,5356
Adventures of a Mathematician,Thor Klein,Hollywood / English,"English,Polish",102,5.6,2021-06-11,2021-10-06,117,13.703071672354948,2.5042735042735043,293,4015
What Breaks the Ice,Rebecca Eskreis,Hollywood / English,English,99,5.6,2021-10-03,2021-10-06,3,10.19047619047619,245.0,735,7490
The Night House,David Bruckner,Hollywood / English,English,107,6.5,2021-08-20,2021-08-30,10,9.934426229508198,115.9,1159,11514
Dark Web: Descent Into Hell,Diego Savignano,Hollywood / English,English,79,3.7,2021-09-17,2021-09-20,3,8.84478935698448,751.6666666666666,2255,19945
Lego Star Wars Terrifying Tales,Ken Cunningham,Anime / Kids,English,44,6.1,2021-10-01,2021-10-06,5,12.1707779886148,105.4,527,6414
Monkie Kid: A Hero Is Born,Sarah Harper,Anime / Kids,"English,Chinese,Min Nan,Korean,Japanese,Cantonese,German,Spanish",45,7.1,2021-09-09,2021-10-06,27,11.5406162464986,13.222222222222221,357,4120
Falling for Figaro,Not Assigned,Hollywood / English,English,100,5.8,2021-10-01,2021-10-04,3,9.737777777777778,225.0,675,6573
Bingo Hell,Not Assigned,Hollywood / English,English,100,5.8,2021-10-01,2021-10-04,3,15.62828947368421,101.33333333333333,304,4751
Hustle Down,Not Assigned,Hollywood / English,English,100,5.8,2021-10-01,2021-10-04,3,13.843342036553524,127.66666666666667,383,5302
Marlowe,Neil Jordan,Hollywood / English,English,110,6.1,2023-02-15,2023-02-15,0,10.992932862190813,283.0,283,3111
Carnifex,Sean Lahiff,Hollywood / English,English,93,4.7,2022-12-01,2023-02-16,77,8.046048109965636,18.896103896103895,1455,11707
Vaathi,Venky Atluri,Tollywood,Hindi,139,8.1,2023-02-17,2023-02-20,3,3.161366313309776,566.0,1698,5368
Shehzada,Rohit Dhawan,Bollywood / Indian,Hindi,142,9.0,2023-02-17,2023-02-18,1,2.769868057686407,13036.0,13036,36108
The Girl Who Escaped: The Kara Robinson Story,Simone Stock,Hollywood / English,English,88,6.6,2023-02-11,2023-02-15,4,9.85545335085414,190.25,761,7500
Who Invited Charlie?,Xavier Manrique,Hollywood / English,English,101,8.8,2023-02-03,2023-02-13,10,23.226666666666667,7.5,75,1742
Your Place or Mine,Aline Brosh McKenna,Hollywood / English,"English,Hindi",109,5.7,2023-02-10,2023-02-13,3,5.419889502762431,905.0,2715,14715
Baby Ruby,Bess Wohl,Hollywood / English,English,93,5.0,2023-02-03,2023-02-10,7,14.734726688102894,88.85714285714286,622,9165
Swallow,Not Assigned,Hollywood / English,English,100,5.8,2021-10-01,2021-10-04,3,15.076923076923077,73.66666666666667,221,3332
Queenpins,Not Assigned,Hollywood / English,English,100,5.8,2021-09-10,2021-09-09,-1,11.853598014888338,403.0,403,4777
Rise of the Footsoldier: Origins,Nick Nevern,Hollywood / English,English,107,5.9,2021-09-03,2021-09-20,17,14.073578595317725,35.1764705882353,598,8416
Pinky Moge Wali 2,Kapil Batra,Punjabi,Punjabi,121,4.8,2021-10-03,2021-10-04,1,5.075400565504241,3183.0,3183,16155
Aape Pein Siyappe,Sharhaan Singh,Punjabi,Punjabi,104,4.2,2021-02-26,2021-10-04,220,7.034863451481697,7.822727272727272,1721,12107
Guns of Banaras,Shekkhar Suri,Bollywood / Indian,Hindi,134,5.8,2020-02-28,2021-10-04,584,4.3890579158969905,31.517123287671232,18406,80785
The Guilty,Antoine Fuqua,Hollywood / English,"English,Spanish",90,6.3,2021-10-01,2021-09-16,-15,4.577511473737889,522.9333333333333,7844,35906
Mayday,Karen Cinorre,Hollywood / English,English,100,4.1,2021-10-01,2021-10-02,1,9.460556844547563,862.0,862,8155
Last Man Down,Fansu Njie,Hollywood / English,English,87,3.6,2021-10-19,2021-10-02,-17,6.592758053138961,250.1764705882353,4253,28039
The Survivalist,Not Assigned,Hollywood / English,English,100,5.8,2021-10-01,2021-10-02,1,9.021914648212226,867.0,867,7822
American Night,Not Assigned,Hollywood / English,English,100,5.8,2021-10-01,2021-10-02,1,12.673728813559322,708.0,708,8973
The Addams Family 2,"Greg Tiernan, Conrad Vernon, Laura Brousseau",Anime / Kids,"English,Spanish,Latin,Ukrainian",93,5.4,2021-10-01,2021-10-02,1,7.303727200634417,2522.0,2522,18420
Shiddat,Kunal Deshmukh,Bollywood / Indian,Hindi,146,7.6,2021-10-01,2021-10-02,1,3.5025894206549117,49625.0,49625,173816
Chehre,Rumi Jaffery,Bollywood / Indian,Hindi,139,6.3,2021-08-27,2021-08-28,1,3.2146944614755775,48930.0,48930,157295
No One Gets Out Alive,Santiago Menghini,Hollywood / English,"English,Spanish,Romanian,Portuguese",87,5.3,2021-09-29,2021-09-30,1,4.519153644032637,7231.0,7231,32678
Sounds Like Love,Juana Macías,Hollywood / English,Spanish,110,5.4,2021-09-29,2021-09-30,1,5.635090993933738,2143.0,2143,12076
Snake Eyes,Robert Schwentke,Hollywood / English,English,121,5.4,2021-07-23,2021-07-27,4,3.7785653226955405,7019.0,28076,106087
The Suicide Squad,James Gunn,Hollywood / English,English,132,7.2,2021-08-06,2021-08-06,0,3.318687628702677,50504.0,50504,167607
Wrath of Man,Guy Ritchie,Hollywood / English,English,119,7.1,2021-05-07,2021-05-17,10,3.434250297682655,6550.6,65506,224964
Run Hide Fight,Kyle Rankin,Hollywood / English,"English,Spanish",109,6.3,2021-01-14,2021-01-16,2,4.366475195822455,4787.5,9575,41809
Tughlaq Durbar,Delhi Prasad Deenadayal,Tollywood,Tamil,145,5.4,2021-09-10,2021-09-30,20,3.954429456799125,411.45,8229,32541
Coming Home in the Dark,Not Assigned,Hollywood / English,English,100,5.8,2021-10-01,2021-09-29,-2,12.106267029972752,367.0,734,8886
The Girl Who Killed Her Parents,Mauricio Eça,Hollywood / English,Portuguese,80,6.1,2021-09-24,2021-09-29,5,10.911908646003262,122.6,613,6689
Chernobyl: Abyss,Danila Kozlovsky,Hollywood / English,Russian,136,5.1,2021-09-24,2021-09-29,5,11.208672086720867,221.4,1107,12408
Rumba Love,Guillermo Ivan,Hollywood / English,English,103,6.8,2021-09-24,2021-09-29,5,13.15814850530376,207.4,1037,13645
Inside the Circle,Not Assigned,Hollywood / English,English,100,5.8,2021-09-23,2021-09-29,6,11.46774193548387,51.666666666666664,310,3555
Hytte,Not Assigned,Hollywood / English,English,100,5.8,2021-03-06,2021-09-29,207,17.25581395348837,0.8309178743961353,172,2968
Avane Srimannarayana,"Sachin Ravi, Sachin",Tollywood,Kannada,186,7.7,2019-12-27,2021-09-28,641,3.8119620968443013,17.945397815912635,11503,43849
Paris Jeyaraj,K. Johnson,Tollywood,Tamil,136,5.7,2021-02-12,2021-09-28,228,5.015043156596794,17.785087719298247,4055,20336
Yaara Ve,"Rakesh Mehta, Nirmal Singh",Punjabi,Punjabi,118,7.5,2019-04-05,2021-09-28,907,5.8460736622654625,3.173098125689085,2878,16825
Tara Mira,Rajiev Dhingra,Punjabi,"Punjabi,Hindi",120,6.8,2019-10-11,2019-10-14,3,4.974133876783195,2126.3333333333335,6379,31730
This Is the Year,Not Assigned,Hollywood / English,English,100,5.8,2021-08-28,2021-09-27,30,9.884210526315789,15.833333333333334,475,4695
East of the Mountains,Not Assigned,Hollywood / English,English,100,5.8,2021-04-09,2021-09-27,171,9.575129533678757,2.257309941520468,386,3696
Lone Wolf,Not Assigned,Hollywood / English,English,100,5.8,2021-09-01,2021-09-27,26,15.285714285714286,19.923076923076923,518,7918
Venus as a Boy,Ty Hodges,Hollywood / English,English,104,4.0,2021-06-14,2021-09-27,105,17.593837535014007,3.4,357,6281
Please Kill Me,Prem Singh Sidhu,Punjabi,Punjabi,124,7.5,2021-09-24,2021-09-27,3,7.128150363092695,780.3333333333334,2341,16687
Marlowe,Neil Jordan,Hollywood / English,English,110,6.1,2023-02-15,2023-02-15,0,11.0,283.0,283,3113
Carnifex,Sean Lahiff,Hollywood / English,English,93,4.7,2022-12-01,2023-02-16,77,8.046735395189003,18.896103896103895,1455,11708
Vaathi,Venky Atluri,Tollywood,Hindi,139,8.1,2023-02-17,2023-02-20,3,3.1625441696113072,566.0,1698,5370
Shehzada,Rohit Dhawan,Bollywood / Indian,Hindi,142,9.0,2023-02-17,2023-02-18,1,2.7700214789812825,13036.0,13036,36110
The Girl Who Escaped: The Kara Robinson Story,Simone Stock,Hollywood / English,English,88,6.6,2023-02-11,2023-02-15,4,9.85676741130092,190.25,761,7501
Who Invited Charlie?,Xavier Manrique,Hollywood / English,English,101,8.8,2023-02-03,2023-02-13,10,23.24,7.5,75,1743
Your Place or Mine,Aline Brosh McKenna,Hollywood / English,"English,Hindi",109,5.7,2023-02-10,2023-02-13,3,5.420257826887661,905.0,2715,14716
Baby Ruby,Bess Wohl,Hollywood / English,English,93,5.0,2023-02-03,2023-02-10,7,14.736334405144694,88.85714285714286,622,9166
Through the Glass Darkly,Not Assigned,Hollywood / English,English,100,5.8,2021-09-24,2021-09-25,1,10.036299765807962,854.0,854,8571
The Starling,Not Assigned,Hollywood / English,English,100,5.8,2021-09-24,2021-09-25,1,12.620786516853933,356.0,356,4493
Time Is Up,Elisa Amoruso,Hollywood / English,English,108,4.2,2021-09-09,2021-09-25,16,7.952006294256491,79.4375,1271,10107
Birds of Paradise,Sarah Adina Smith,Hollywood / English,"English,French,Portuguese",113,5.8,2021-09-24,2021-09-25,1,10.393739703459637,607.0,607,6309
Apache Junction,Justin Lee,Hollywood / English,English,94,3.9,2021-09-24,2021-09-25,1,9.559190031152648,642.0,642,6137
My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha, Mark Fattibene",Anime / Kids,English,90,6.8,2021-09-24,2021-09-25,1,4.318840579710145,4830.0,4830,20860
Thalaivi,Vijay,Tollywood,"Tamil,Telugu,Hindi",153,5.9,2021-09-10,2021-09-25,15,4.625942684766215,309.4,4641,21469
Blame,Not Assigned,Hollywood / English,English,100,5.8,2021-09-21,2021-09-24,3,11.536196319018405,271.6666666666667,815,9402
I Love Us,Danny A. Abeckaser,Hollywood / English,English,92,4.3,2021-09-07,2021-09-24,17,10.802232854864434,36.88235294117647,627,6773
Paper Dragons,Not Assigned,Hollywood / English,English,100,5.8,2021-09-07,2021-09-24,17,13.660818713450292,20.11764705882353,342,4672
Intrusion,Adam Salky,Hollywood / English,English,92,5.3,2021-09-22,2021-09-23,1,6.115384615384615,2210.0,2210,13515
The Grand Duke of Corsica,Not Assigned,Hollywood / English,English,100,5.8,2021-11-03,2021-09-23,-41,13.923809523809524,10.24390243902439,420,5848
This Is the Night,James DeMonaco,Hollywood / English,"English,Italian",107,5.4,2021-09-21,2021-09-23,2,17.922448979591838,122.5,245,4391
The Alpines,Dante Aubain,Hollywood / English,English,93,4.4,2021-09-22,2021-09-23,1,11.973684210526315,418.0,418,5005
Roe v. Wade,"Cathy Allyn, Nick Loeb",Hollywood / English,English,112,3.8,2021-04-02,2021-09-23,174,16.680497925311204,1.3850574712643677,241,4020
Tethered,Not Assigned,Hollywood / English,English,100,5.8,2021-09-21,2021-09-23,2,13.29746835443038,79.0,158,2101
Help,Not Assigned,Hollywood / English,English,100,5.8,2021-09-16,2021-09-22,6,12.16611295681063,50.166666666666664,301,3662
What She Said,Amy Northup,Hollywood / English,English,99,5.8,2021-09-14,2021-09-22,8,14.11326860841424,38.625,309,4361
C.I.Ape,Not Assigned,Hollywood / English,English,100,5.8,2021-09-28,2021-09-22,-6,9.825949367088608,210.66666666666666,1264,12420
Night of the Animated Dead,Jason Axinn,Anime / Kids,English,71,4.5,2021-09-21,2021-09-22,1,15.34375,928.0,928,14239
Most Dangerous Game,Not Assigned,Hollywood / English,English,7,6.6,2020-04-06,2021-09-21,533,3.9820138581748488,25.452157598499063,13566,54020
The Stronghold,Not Assigned,Hollywood / English,English,100,5.8,2021-08-18,2021-09-21,34,9.6,36.1764705882353,1230,11808
Between Waves,Not Assigned,Hollywood / English,English,100,5.8,2021-08-23,2021-09-21,29,14.161572052401747,7.896551724137931,229,3243
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,Cecilia Aranovich,Anime / Kids,English,78,6.3,2021-09-14,2021-09-21,7,5.4652077698549295,581.0,4067,22227
Cry Macho,Not Assigned,Hollywood / English,English,100,5.8,2021-09-17,2021-09-20,3,10.305194805194805,154.0,462,4761
Haathi Mere Saathi,Prabu Solomon,Tollywood,Hindi,126,6.3,2021-09-18,2021-09-20,2,3.182138040227526,8526.5,17053,54265
Tunka Tunka,Garry Khatrao,Punjabi,Punjabi,118,8.0,2021-08-05,2021-09-20,46,7.502681618722574,44.58695652173913,2051,15388
My Son,Christian Carion,Hollywood / English,"English,Gaelic",95,6.0,2021-11-03,2021-09-18,-46,8.467297762478486,25.26086956521739,1162,9839
The Card Counter,Paul Schrader,Hollywood / English,English,111,6.3,2021-09-10,2021-09-18,8,10.333825701624816,84.625,677,6996
Everybody's Talking About Jamie,"Jonathan Butterell, Dan Gillespie Sells, Tom MacRae",Hollywood / English,English,115,6.4,2021-09-17,2021-09-18,1,6.843410178338408,2299.0,2299,15733
Last Night in Rozzie,Sean Gannet,Hollywood / English,English,80,5.3,2021-09-17,2021-09-18,1,19.43448275862069,290.0,290,5636
The Killing of Kenneth Chamberlain,David Midell,Hollywood / English,English,83,6.9,2021-11-19,2021-09-18,-62,16.386440677966103,4.758064516129032,295,4834
Candyman,Nia DaCosta,Hollywood / English,"English,French",91,5.9,2021-08-27,2021-08-30,3,7.979972375690608,482.6666666666667,1448,11555
Ankahi Kahaniya,"Abhishek Chaubey, Saket Chaudhary, Ashwiny Iyer Tiwari",Bollywood / Indian,Hindi,110,5.5,2021-09-17,2021-09-18,1,5.819612068965517,4640.0,4640,27003
Annabelle Rathore,Deepak Sundarrajan,Tollywood,Tamil,135,3.6,2021-09-17,2021-09-18,1,3.5778430025604195,16013.0,16013,57292
Nightbooks,David Yarovesky,Hollywood / English,English,103,5.7,2021-09-15,2021-09-17,2,3.5809509365283994,6593.5,13187,47222
Marlowe,Neil Jordan,Hollywood / English,English,110,6.1,2023-02-15,2023-02-15,0,11.003533568904594,283.0,283,3114
Carnifex,Sean Lahiff,Hollywood / English,English,93,4.7,2022-12-01,2023-02-16,77,8.047422680412371,18.896103896103895,1455,11709
Vaathi,Venky Atluri,Tollywood,Hindi,139,8.1,2023-02-17,2023-02-20,3,3.1636256621542085,566.3333333333334,1699,5375
Shehzada,Rohit Dhawan,Bollywood / Indian,Hindi,142,9.0,2023-02-17,2023-02-18,1,2.7701749002761584,13036.0,13036,36112
The Girl Who Escaped: The Kara Robinson Story,Simone Stock,Hollywood / English,English,88,6.6,2023-02-11,2023-02-15,4,9.8580814717477,190.25,761,7502
Who Invited Charlie?,Xavier Manrique,Hollywood / English,English,101,8.8,2023-02-03,2023-02-13,10,23.253333333333334,7.5,75,1744
Your Place or Mine,Aline Brosh McKenna,Hollywood / English,"English,Hindi",109,5.7,2023-02-10,2023-02-13,3,5.4206261510128915,905.0,2715,14717
Baby Ruby,Bess Wohl,Hollywood / English,English,93,5.0,2023-02-03,2023-02-10,7,14.737942122186496,88.85714285714286,622,9167
Streamline,Tyson Wade Johnston,Hollywood / English,English,86,5.9,2021-09-02,2021-09-17,15,25.748062015503876,17.2,258,6643
Another Girl,Allison Burnett,Hollywood / English,English,95,4.2,2021-09-14,2021-09-17,3,12.836518046709129,314.0,942,12092
Final Frequency,Tim Lowry,Hollywood / English,English,91,3.1,2021-06-11,2021-09-17,98,14.323636363636364,5.612244897959184,550,7878
Death of Me,Darren Lynn Bousman,Hollywood / English,"English,Thai",94,4.4,2020-10-02,2020-10-03,1,5.042583392476934,9863.0,9863,49735
Cold Pursuit,Hans Petter Moland,Hollywood / English,"English,Vietnamese,Shoshoni",119,6.2,2019-02-08,2019-02-11,3,4.330213004484305,5946.666666666667,17840,77251
Puaada,"Rupinder Chahal, Sunil Dhawan",Punjabi,Punjabi,130,5.6,2021-08-12,2021-09-17,36,3.186742382876488,254.36111111111111,9157,29181
Rajathandhiram (Ek Ultimate Chaalbaaz),A.G. Amid,Tollywood,Tamil,132,7.6,2015-03-13,2021-09-17,2380,4.763627534296467,3.4609243697478993,8237,39238
The Power of the Dog,Jane Campion,Hollywood / English,English,126,6.8,2021-11-19,2021-09-16,-64,11.916733386709367,19.515625,1249,14884
